price,area,location,district,bedrooms_n,bathrooms_n,floors_n,house_type,year_built,facade_width,legal_status
22000.0,111.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,3,3,,nhà ở,,,so hong
25000.0,170.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,1,,nhà ở,,,so hong
16000.0,200.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,4,3,,nhà ở,,,so hong
35000.0,384.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,4,4,,nhà ở,,,so hong
17000.0,71.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,4,4,,nhà ở,,,so hong
13000.0,359.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,2,2,,nhà ở,,,so hong
26000.0,109.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,4,5,,nhà ở,,,so hong
12700.0,90.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,4,5,,nhà ở,,,so hong
22500.0,90.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,5,5,,nhà ở,,,so hong
15000.0,148.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,1,,nhà ở,,,so hong
8600.0,120.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,5,5,,nhà ở,,,so hong
15000.0,70.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,2,2,,nhà ở,,,so hong
64260.0,1428.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,0,0,,nhà ở,,,so hong
38000.0,280.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,5,6,,biệt thự,,,so hong
9500.0,403.0,"Quận Bình Thuỷ, Cần Thơ",Quận Bình Thuỷ,0,0,,nhà ở,,,so hong
17000.0,64.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,6,6,,nhà ở,,,so hong
36000.0,168.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,6,7,,nhà ở,,,so hong
62500.0,2317.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,0,,biệt thự,,,so hong
28500.0,412.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,6,6,,biệt thự,,,so hong
15000.0,104.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,1,,nhà ở,,,so hong
28789.0,1129.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,0,,biệt thự,,,so hong
15000.0,120.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,1,,nhà ở,,,so hong
32000.0,169.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,4,4,,nhà ở,,,so hong
14000.0,126.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,5,5,,nhà ở,,,so hong
12500.0,206.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,0,0,,biệt thự,,,so hong
89856.0,3328.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,0,,biệt thự,,,so hong
22000.0,231.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,1,,nhà ở,,,so hong
11500.0,72.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,2,2,,nhà ở,,,so hong
28000.0,105.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,2,3,,nhà ở,,,so hong
16000.0,100.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,2,3,,nhà ở,,,so hong
15800.0,198.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,0,,nhà ở,,,so hong
62000.0,807.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,1,,nhà ở,,,so hong
14500.0,74.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,2,2,,nhà ở,,,so hong
15000.0,60.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,4,5,,nhà ở,,,so hong
19990.0,120.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,6,7,,nhà ở,,,so hong
20500.0,138.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,12,12,,nhà ở,,,so hong
10600.0,84.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,1,,nhà ở,,,so hong
7500.0,168.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,2,2,,nhà ở,,,so hong
22820.0,1269.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,0,0,,nhà ở,,,so hong
52000.0,652.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,0,,nhà ở,,,so hong
80000.0,720.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,3,,nhà ở,,,so hong
35000.0,770.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,0,,nhà ở,,,so hong
15800.0,141.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,1,,nhà ở,,,so hong
27000.0,110.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,1,,nhà ở,,,so hong
60000.0,1378.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,0,,nhà ở,,,so hong
28000.0,1155.0,"Quận Bình Thuỷ, Cần Thơ",Quận Bình Thuỷ,0,0,,nhà ở,,,so hong
18200.0,95.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,1,,nhà ở,,,so hong
15500.0,63.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,3,4,,nhà ở,,,so hong
13990.0,134.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,0,,nhà ở,,,so hong
13500.0,87.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,3,3,,nhà ở,,,so hong
31500.0,335.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,0,,nhà ở,,,so hong
11900.0,99.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,1,,nhà ở,,,so hong
18000.0,77.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,8,9,,nhà ở,,,so hong
6800.0,110.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,0,,nhà ở,,,so hong
25000.0,1445.0,"Quận Bình Thuỷ, Cần Thơ",Quận Bình Thuỷ,1,2,,nhà ở,,,so hong
13600.0,428.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,5,6,,biệt thự,,,so hong
22500.0,104.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,3,3,,nhà ở,,,so hong
